,DATE,TEAM,CONF.,OPP.,RESULT,SCORE,YEAR
404,2023-03-16,Penn St.,B10,Texas A&M,W, 76-59,2023
405,2023-03-16,Northwestern,B10,Boise St.,W, 75-67,2023
406,2023-03-16,UCLA,P12,UNC Asheville,W, 86-53,2023
407,2023-03-16,Alabama,SEC,Texas A&M Corpus Chr,W, 96-75,2023
408,2023-03-16,Texas,B12,Colgate,W, 81-61,2023
409,2023-03-16,Duke,ACC,Oral Roberts,W, 74-51,2023
410,2023-03-16,West Virginia,B12,Maryland,L, 67-65,2023
411,2023-03-16,Kansas,B12,Howard,W, 96-68,2023
412,2023-03-16,Auburn,SEC,Iowa,W, 83-75,2023
413,2023-03-16,Missouri,SEC,Utah St.,W, 76-65,2023
414,2023-03-16,Furman,SC,Virginia,W, 68-67,2023
415,2023-03-16,Arkansas,SEC,Illinois,W, 73-63,2023
416,2023-03-16,Houston,Amer,Northern Kentucky,W, 63-52,2023
417,2023-03-16,College of Charlesto,CAA,San Diego St.,L, 63-57,2023
418,2023-03-16,Louisiana Lafayette,SB,Tennessee,L, 58-55,2023
419,2023-03-16,Princeton,Ivy,Arizona,W, 59-55,2023
420,2023-03-17,Connecticut,BE,Iona,W, 87-63,2023
421,2023-03-17,Marquette,BE,Vermont,W, 78-61,2023
422,2023-03-17,Florida Atlantic,CUSA,Memphis,W, 66-65,2023
423,2023-03-17,Indiana,B10,Kent St.,W, 71-60,2023
424,2023-03-17,Michigan St.,B10,USC,W, 72-62,2023
425,2023-03-17,Gonzaga,WCC,Grand Canyon,W, 82-70,2023
426,2023-03-17,Arizona St.,P12,TCU,L, 72-70,2023
427,2023-03-17,Kansas St.,B12,Montana St.,W, 77-65,2023
428,2023-03-17,Baylor,B12,UC Santa Barbara,W, 74-56,2023
429,2023-03-17,Saint Mary's,WCC,VCU,W, 63-51,2023
430,2023-03-17,Pittsburgh,ACC,Iowa St.,W, 59-41,2023
431,2023-03-17,Creighton,BE,North Carolina St.,W, 72-63,2023
432,2023-03-17,Fairleigh Dickinson,NEC,Purdue,W, 63-58,2023
433,2023-03-17,Kennesaw St.,ASun,Xavier,L, 72-67,2023
434,2023-03-17,Kentucky,SEC,Providence,W, 61-53,2023
435,2023-03-17,Miami FL,ACC,Drake,W, 63-56,2023
436,2023-03-18,Houston,Amer,Auburn,W, 81-64,2023
437,2023-03-18,UCLA,P12,Northwestern,W, 68-63,2023
438,2023-03-18,Princeton,Ivy,Missouri,W, 78-63,2023
439,2023-03-18,Kansas,B12,Arkansas,L, 72-71,2023
440,2023-03-18,Tennessee,SEC,Duke,W, 65-52,2023
441,2023-03-18,Penn St.,B10,Texas,L, 71-66,2023
442,2023-03-18,San Diego St.,MWC,Furman,W, 75-52,2023
443,2023-03-18,Alabama,SEC,Maryland,W, 73-51,2023
444,2023-03-19,Miami FL,ACC,Indiana,W, 85-69,2023
445,2023-03-19,Creighton,BE,Baylor,W, 85-76,2023
446,2023-03-19,Connecticut,BE,Saint Mary's,W, 70-55,2023
447,2023-03-19,Gonzaga,WCC,TCU,W, 84-81,2023
448,2023-03-19,Kentucky,SEC,Kansas St.,L, 75-69,2023
449,2023-03-19,Xavier,BE,Pittsburgh,W, 84-73,2023
450,2023-03-19,Michigan St.,B10,Marquette,W, 69-60,2023
451,2023-03-19,Fairleigh Dickinson,NEC,Florida Atlantic,L, 78-70,2023
452,2023-03-23,Kansas St.,B12,Michigan St.,W, 98-93,2023
453,2023-03-23,Connecticut,BE,Arkansas,W, 88-65,2023
454,2023-03-23,Gonzaga,WCC,UCLA,W, 79-76,2023
455,2023-03-23,Florida Atlantic,CUSA,Tennessee,W, 62-55,2023
456,2023-03-24,Miami FL,ACC,Houston,W, 89-75,2023
457,2023-03-24,Creighton,BE,Princeton,W, 86-75,2023
458,2023-03-24,Texas,B12,Xavier,W, 83-71,2023
459,2023-03-24,San Diego St.,MWC,Alabama,W, 71-64,2023
460,2023-03-25,Florida Atlantic,CUSA,Kansas St.,W, 79-76,2023
461,2023-03-25,Connecticut,BE,Gonzaga,W, 82-54,2023
462,2023-03-26,Miami FL,ACC,Texas,W, 88-81,2023
463,2023-03-26,Creighton,BE,San Diego St.,L, 57-56,2023
464,2023-04-01,Florida Atlantic,CUSA,San Diego St.,L, 72-71,2023
465,2023-04-01,Connecticut,BE,Miami FL,W, 72-59,2023
466,2023-04-03,Connecticut,BE,San Diego St.,W, 76-59,2023
